# Biokinesis-SDK Export,
# sensor_id: 1,
# label: Xiao_Arm,
# signal: emg_filtered,
# unit: uV,
# exported_at: 2026-05-02T23:18:19,
timestamp_us,emg_uV
1005143985,23864.71868
1005144985,10698.02457
1005145985,1831.876554
1005146750,44361.38125
1005147750,44393.02335
1005148750,32188.5264
1005149750,13933.32861
1005150750,-10346.58193
1005151750,-39228.09439
1005152750,-55902.54858
1005153750,-45049.04166
1005154750,-19543.77495
1005155750,-3155.335854
1005156516,-44374.84136
1005157516,-57893.84171
1005158516,-44638.92518
1005159516,-23309.62439
1005160516,-6017.578368
1005161516,10634.92376
1005162516,24220.71525
1005163516,23702.78863
1005164516,11661.84976
1005165516,2293.339638
1005166282,15113.00095
1005167282,22238.61311
1005168282,17352.47202
1005169282,4713.679308
1005170282,-6215.150412
1005171282,-9944.466265
1005172282,-7708.342256
1005173282,-3770.243268
1005174282,-1110.74333
1005175282,-128.438665
1005177024,23143.05849
1005178024,18860.41436
1005179024,8109.47878
1005180024,-3983.526307
1005181024,-14854.27905
1005182024,-23845.79127
1005183024,-26574.3813
1005184024,-19339.30567
1005185024,-7936.913592
1005186024,-1140.958668
1005186789,-16036.17965
1005187789,-39793.02747
1005188789,-49257.95388
1005189789,-47017.77101
1005190789,-34052.26272
1005191789,-9990.212064
1005192789,13370.49556
1005193789,19530.10502
1005194789,10704.59336
1005195789,2411.784643
1005196555,-10995.52963
1005197555,-11105.50992
1005198555,-7251.50728
1005199555,464.819191
1005200555,9315.205952
1005201555,14901.1052
1005202555,14150.90315
1005203555,8546.846124
1005204555,2944.821726
1005205555,315.28306
1005206321,9772.046376
1005207321,538.075049
1005208321,-8855.746477
1005209321,-15804.39374
1005210321,-18765.44775
1005211321,-16619.35838
1005212321,-10413.53799
1005213321,-4070.438128
1005214321,-670.75492
1005215321,199.864884
1005222922,-6658.396344
1005223922,-25934.57051
1005224922,-32203.42156
1005225922,-29363.73289
1005226922,-23324.58327
1005227922,-15661.40298
1005228922,-7423.3996
1005229922,-1623.606206
1005230922,420.967566
1005231922,489.909319
1005232688,-40609.12532
1005233688,-54039.87792
1005234688,-46108.52956
1005235688,-26606.13906
1005236688,-3422.639468
1005237688,20820.22886
1005238688,35933.26043
1005239688,30937.93626
1005240688,14024.51959
1005241688,2510.589299
1005242454,14125.77462
1005243454,23707.85091
1005244454,29224.73662
1005245454,32163.51354
1005246454,25275.10609
1005247454,2377.466515
1005248454,-22400.86776
1005249454,-27123.67455
1005250454,-14088.13912
1005251454,-2845.499214
1005252219,-18612.8063
1005253219,-45030.99375
1005254219,-56975.09207
1005255219,-56413.57043
1005256219,-41540.20625
1005257219,-10601.59599
1005258219,19909.11787
1005259219,27255.73408
1005260219,14650.55936
1005261219,3196.63607
1005262961,973.865094
1005263961,-6834.641343
1005264961,-12350.37355
1005265961,-10543.92438
1005266961,-3291.423588
1005267961,2795.302542
1005268961,3910.72219
1005269961,2027.695236
1005270961,490.615281
1005271961,63.72291
1005272727,-5349.144902
1005273727,-16198.07611
1005274727,-17997.13409
1005275727,-14324.15705
1005276727,-10520.71352
1005277727,-7539.141102
1005278727,-4284.66021
1005279727,-1391.165786
1005280727,-6.319759
1005281727,222.608494
1005282493,-8688.137893
1005283493,-11618.60337
1005284493,-3075.776955
1005285493,10097.18433
1005286493,14497.81385
1005287493,4521.002893
1005288493,-9417.383994
1005289493,-13094.83104
1005290493,-6961.947212
1005291493,-1362.818043
1005297141,-24572.51554
1005298141,-33965.5432
1005299141,-26479.98245
1005300141,-13937.9531
1005301141,-4945.153738
1005302141,3036.367801
1005303141,10581.43242
1005304141,11610.20385
1005305141,6083.553861
1005306141,1279.269593
1005306907,11456.60184
1005307907,27209.39944
1005308907,35384.26951
1005309907,35601.39267
1005310907,25434.86712
1005311907,3665.549182
1005312907,-17601.87245
1005313907,-21772.9597
1005314907,-11407.54997
1005315907,-2385.378431
1005316672,-11290.02975
1005317672,-23651.33583
1005318672,-22352.45384
1005319672,-14124.58038
1005320672,-8010.65701
1005321672,-5364.315723
1005322672,-3197.455014
1005323672,-953.002655
1005324672,154.5972
1005325672,253.54112
1005326438,5079.169471
1005327438,2085.305636
1005328438,2563.189097
1005329438,387.083731
1005330438,-8125.671369
1005331438,-18517.72075
1005332438,-22031.37408
1005333438,-15673.54746
1005334438,-6158.498202
1005335438,-824.319779
1005337180,-16645.94498
1005338180,-19540.18073
1005339180,-5296.490815
1005340180,13819.31836
1005341180,19614.3698
1005342180,7044.19081
1005343180,-9736.083756
1005344180,-14253.02211
1005345180,-7592.825054
1005346180,-1492.161613
1005346946,-22065.20001
1005347946,-36328.5309
1005348946,-32376.47681
1005349946,-21968.76707
1005350946,-13747.53787
1005351946,-4967.222181
1005352946,4746.542452
1005353946,8479.847875
1005354946,5080.876498
1005355946,1241.680021
1005356711,-1172.47857
1005357711,1818.699724
1005358711,4949.425575
1005359711,4922.726822
1005360711,1548.040648
1005361711,-2277.492118
1005362711,-3803.248259
1005363711,-2815.586397
1005364711,-1116.925936
1005365711,-180.201169
1005366477,16592.07013
1005367477,15822.40077
1005368477,14887.74951
1005369477,10899.26705
1005370477,-1638.506105
1005371477,-21588.62747
1005372477,-34907.85573
1005373477,-29326.94205
1005374477,-12959.30209
1005375477,-2126.255909
1005377219,-32808.39594
1005378219,-52045.81159
1005379219,-49254.00884
1005380219,-34065.66899
1005381219,-14925.55172
1005382219,6304.695743
1005383219,21889.90133
1005384219,21683.73798
1005385219,10530.02755
1005386219,2114.051471
1005386985,-14164.67566
1005387985,-12300.01405
1005388985,-8373.112182
1005389985,-1115.098596
1005390985,9971.438498
1005391985,20751.9128
1005392985,23607.42851
1005393985,16346.64684
1005394985,6294.037959
1005395985,832.750458
1005396750,20011.04482
1005397750,16420.79006
1005398750,10865.80832
1005399750,7051.874228
1005400750,-3.100196
1005401750,-15383.28865
1005402750,-29267.2196
1005403750,-26929.41217
